,Tiempo,Tensión
670,-0.00232,-0.7000000000000001
671,-0.0023160000000000004,-0.72
672,-0.0023120000000000003,-0.72
673,-0.002308,-0.72
674,-0.002304,-0.72
675,-0.0023000000000000004,-0.74
676,-0.0022960000000000003,-0.72
677,-0.002292,-0.74
678,-0.002288,-0.76
679,-0.0022840000000000004,-0.76
680,-0.0022800000000000003,-0.76
681,-0.0022760000000000002,-0.76
682,-0.002272,-0.76
683,-0.002268,-0.76
684,-0.0022640000000000004,-0.76
685,-0.0022600000000000003,-0.78
686,-0.002256,-0.76
687,-0.002252,-0.78
688,-0.0022480000000000004,-0.78
689,-0.0022440000000000003,-0.76
690,-0.0022400000000000002,-0.78
691,-0.002236,-0.78
692,-0.002232,-0.78
693,-0.0022280000000000004,-0.78
694,-0.0022240000000000003,-0.8
695,-0.00222,-0.8
696,-0.002216,-0.8
697,-0.0022120000000000004,-0.8200000000000001
698,-0.0022080000000000003,-0.8
699,-0.0022040000000000002,-0.8200000000000001
700,-0.0022,-0.8200000000000001
701,-0.002196,-0.8
702,-0.0021920000000000004,-0.8200000000000001
703,-0.0021880000000000003,-0.8200000000000001
704,-0.002184,-0.8200000000000001
705,-0.00218,-0.84
706,-0.0021760000000000004,-0.84
707,-0.0021720000000000003,-0.8200000000000001
708,-0.0021680000000000002,-0.84
709,-0.002164,-0.86
710,-0.00216,-0.84
711,-0.0021560000000000004,-0.86
712,-0.0021520000000000003,-0.84
713,-0.002148,-0.86
714,-0.002144,-0.86
715,-0.0021400000000000004,-0.86
716,-0.0021360000000000003,-0.86
717,-0.002132,-0.86
718,-0.002128,-0.88
719,-0.002124,-0.86
720,-0.0021200000000000004,-0.86
721,-0.0021160000000000003,-0.88
722,-0.002112,-0.88
723,-0.002108,-0.88
724,-0.0021040000000000004,-0.88
725,-0.0021000000000000003,-0.88
726,-0.002096,-0.86
727,-0.002092,-0.88
728,-0.0020880000000000004,-0.9
729,-0.0020840000000000003,-0.9
730,-0.0020800000000000003,-0.9
731,-0.002076,-0.88
732,-0.002072,-0.9
733,-0.0020680000000000004,-0.88
734,-0.0020640000000000003,-0.9
735,-0.00206,-0.9
736,-0.002056,-0.9
737,-0.0020520000000000004,-0.92
738,-0.0020480000000000003,-0.92
739,-0.0020440000000000002,-0.92
740,-0.00204,-0.92
741,-0.002036,-0.9
742,-0.0020320000000000004,-0.9
743,-0.0020280000000000003,-0.92
744,-0.002024,-0.9400000000000001
745,-0.00202,-0.9400000000000001
746,-0.0020160000000000004,-0.9400000000000001
747,-0.0020120000000000003,-0.9400000000000001
748,-0.0020080000000000002,-0.92
749,-0.002004,-0.9400000000000001
750,-0.002,-0.9400000000000001
751,-0.0019960000000000004,-0.9400000000000001
752,-0.0019920000000000003,-0.9400000000000001
753,-0.001988,-0.96
754,-0.001984,-0.9400000000000001
755,-0.0019800000000000004,-0.9400000000000001
756,-0.0019760000000000003,-0.9400000000000001
757,-0.0019720000000000002,-0.96
758,-0.001968,-0.96
759,-0.001964,-0.96
760,-0.0019600000000000004,-0.98
761,-0.0019560000000000003,-0.98
762,-0.0019520000000000002,-0.96
763,-0.001948,-0.98
764,-0.0019440000000000004,-0.98
765,-0.0019400000000000003,-0.98
766,-0.0019360000000000002,-0.98
767,-0.0019320000000000001,-0.98
768,-0.001928,-0.98
769,-0.0019240000000000004,-0.98
770,-0.0019200000000000003,-0.98
771,-0.0019160000000000002,-0.98
772,-0.001912,-0.98
773,-0.0019080000000000004,-1.0
774,-0.0019040000000000003,-0.98
775,-0.0019000000000000002,-0.98
776,-0.0018960000000000001,-0.98
777,-0.0018920000000000005,-1.0
778,-0.0018880000000000004,-0.98
779,-0.0018840000000000003,-0.98
780,-0.0018800000000000002,-1.0
781,-0.001876,-1.0
782,-0.0018720000000000004,-1.0
783,-0.0018680000000000003,-0.98
784,-0.0018640000000000002,-1.0
785,-0.00186,-1.0
786,-0.0018560000000000004,-1.0
787,-0.0018520000000000003,-1.02
788,-0.0018480000000000003,-1.0
789,-0.0018440000000000002,-1.0
790,-0.00184,-1.02
791,-0.0018360000000000004,-1.0
792,-0.0018320000000000003,-1.0
793,-0.0018280000000000002,-1.0
794,-0.001824,-1.02
795,-0.0018200000000000004,-1.02
796,-0.0018160000000000003,-1.02
797,-0.0018120000000000002,-1.0
798,-0.0018080000000000001,-1.0
799,-0.001804,-1.02
800,-0.0018000000000000004,-1.02
801,-0.0017960000000000003,-1.02
802,-0.0017920000000000002,-1.02
803,-0.001788,-1.04
804,-0.0017840000000000004,-1.02
805,-0.0017800000000000003,-1.04
806,-0.0017760000000000002,-1.02
807,-0.0017720000000000001,-1.02
808,-0.001768,-1.02
809,-0.0017640000000000004,-1.02
810,-0.0017600000000000003,-1.04
811,-0.0017560000000000002,-1.02
812,-0.001752,-1.02
813,-0.0017480000000000004,-1.04
814,-0.0017440000000000003,-1.02
815,-0.0017400000000000002,-1.04
816,-0.0017360000000000001,-1.04
817,-0.0017320000000000005,-1.06
818,-0.0017280000000000004,-1.04
819,-0.0017240000000000003,-1.04
820,-0.0017200000000000002,-1.04
821,-0.001716,-1.04
822,-0.0017120000000000004,-1.02
823,-0.0017080000000000003,-1.04
824,-0.0017040000000000002,-1.06
825,-0.0017000000000000001,-1.04
826,-0.0016960000000000005,-1.04
827,-0.0016920000000000004,-1.04
828,-0.0016880000000000003,-1.04
829,-0.0016840000000000002,-1.02
830,-0.00168,-1.04
831,-0.0016760000000000004,-1.04
832,-0.0016720000000000003,-1.04
833,-0.0016680000000000002,-1.04
834,-0.0016640000000000001,-1.04
835,-0.0016600000000000005,-1.04
836,-0.0016560000000000004,-1.04
837,-0.0016520000000000003,-1.04
838,-0.0016480000000000002,-1.04
839,-0.001644,-1.04
840,-0.0016400000000000004,-1.06
841,-0.0016360000000000003,-1.06
842,-0.0016320000000000002,-1.04
843,-0.001628,-1.06
844,-0.0016240000000000004,-1.04
845,-0.0016200000000000003,-1.06
846,-0.0016160000000000002,-1.04
847,-0.0016120000000000002,-1.06
848,-0.001608,-1.04
849,-0.0016040000000000004,-1.06
850,-0.0016000000000000003,-1.04
851,-0.0015960000000000002,-1.06
852,-0.001592,-1.06
853,-0.0015880000000000004,-1.04
854,-0.0015840000000000003,-1.04
855,-0.0015800000000000002,-1.04
856,-0.0015760000000000001,-1.04
857,-0.001572,-1.04
858,-0.0015680000000000004,-1.02
859,-0.0015640000000000003,-1.04
860,-0.0015600000000000002,-1.04
861,-0.001556,-1.06
862,-0.0015520000000000004,-1.04
863,-0.0015480000000000003,-1.06
864,-0.0015440000000000002,-1.06
865,-0.0015400000000000001,-1.04
866,-0.0015360000000000005,-1.02
867,-0.0015320000000000004,-1.04
868,-0.0015280000000000003,-1.02
869,-0.0015240000000000002,-1.04
870,-0.00152,-1.04
871,-0.0015160000000000004,-1.04
872,-0.0015120000000000003,-1.04
873,-0.0015080000000000002,-1.04
874,-0.0015040000000000001,-1.02
875,-0.0015000000000000005,-1.04
876,-0.0014960000000000004,-1.04
877,-0.0014920000000000003,-1.04
878,-0.0014880000000000002,-1.04
879,-0.001484,-1.02
880,-0.0014800000000000004,-1.0
881,-0.0014760000000000003,-1.02
882,-0.0014720000000000002,-1.02
883,-0.0014680000000000001,-1.0
884,-0.0014640000000000005,-1.02
885,-0.0014600000000000004,-1.02
886,-0.0014560000000000003,-1.02
887,-0.0014520000000000002,-1.0
888,-0.001448,-1.02
889,-0.0014440000000000004,-1.0
890,-0.0014400000000000003,-1.0
891,-0.0014360000000000002,-1.0
892,-0.0014320000000000001,-1.0
893,-0.0014280000000000004,-1.02
894,-0.0014240000000000004,-1.02
895,-0.0014200000000000003,-1.0
896,-0.0014160000000000002,-1.02
897,-0.001412,-1.0
898,-0.0014080000000000004,-1.0
899,-0.0014040000000000003,-1.02
900,-0.0014000000000000002,-1.0
901,-0.001396,-1.0
902,-0.0013920000000000004,-1.0
903,-0.0013880000000000003,-0.98
904,-0.0013840000000000002,-1.0
905,-0.0013800000000000002,-1.0
906,-0.001376,-1.0
907,-0.0013720000000000004,-1.0
908,-0.0013680000000000003,-0.98
909,-0.0013640000000000002,-0.98
910,-0.00136,-0.98
911,-0.0013560000000000004,-0.98
912,-0.0013520000000000003,-0.98
913,-0.0013480000000000002,-0.98
914,-0.0013440000000000001,-0.98
915,-0.0013400000000000005,-0.98
916,-0.0013360000000000004,-0.98
917,-0.0013320000000000003,-0.98
918,-0.0013280000000000002,-0.96
919,-0.001324,-0.98
920,-0.0013200000000000004,-0.96
921,-0.0013160000000000003,-0.98
922,-0.0013120000000000002,-0.96
923,-0.0013080000000000001,-0.96
924,-0.0013040000000000005,-0.96
925,-0.0013000000000000004,-0.96
926,-0.0012960000000000003,-0.96
927,-0.0012920000000000002,-0.96
928,-0.001288,-0.96
929,-0.0012840000000000004,-0.9400000000000001
930,-0.0012800000000000003,-0.96
931,-0.0012760000000000002,-0.9400000000000001
932,-0.0012720000000000001,-0.96
